,equity
2017-11-22,175942.87755436578
2017-11-24,177101.35546163682
2017-11-27,177183.94314623257
2017-11-28,177875.496920962
2017-11-29,172649.65424128762
2017-11-30,173367.36251756945
2017-12-01,173711.72465479348
2017-12-04,174163.04599909487
2017-12-05,172626.89913861844
2017-12-06,172161.57129651646
2017-12-07,171677.11986303207
2017-12-08,172060.63380556472
2017-12-11,173267.79412428767
2017-12-12,173322.83004829992
2017-12-13,173986.68693460623
2017-12-14,174563.5148764802
2017-12-15,175530.26552611517
2017-12-18,175824.42475025804
2017-12-19,176298.94547943573
2017-12-20,176457.1744774732
2017-12-21,176127.1853060508
2017-12-22,175971.44665983188
2017-12-26,176245.9995431917
2017-12-27,176263.87105918385
2017-12-28,176270.9699757613
2017-12-29,176010.17457946698
2018-01-02,177109.27766927722
2018-01-03,177680.857988887
2018-01-04,178156.56027932288
2018-01-05,179565.7086346012
2018-01-08,179449.7341711974
2018-01-09,179050.90539615555
2018-01-10,179104.20401322257
2018-01-11,180988.18867150843
2018-01-12,184286.5100374077
2018-01-16,182894.00401531125
2018-01-17,184937.2825454689
2018-01-18,184558.67169555952
2018-01-19,185114.90617603058
2018-01-22,187583.83378296526
2018-01-23,191223.65958192415
2018-01-24,192536.42657136987
2018-01-25,193121.16074744734
2018-01-26,196044.8113060366
2018-01-29,196364.13457433495
2018-01-30,193686.1703134655
2018-01-31,191727.87578980532
2018-02-01,189560.17631481274
2018-02-02,188183.6835756171
2018-02-05,182738.9769574455
2018-02-06,180343.37354743612
2018-02-07,181778.32430169464
2018-02-08,182973.82164559234
2018-02-09,181756.048921451
2018-02-12,180414.79923984752
2018-02-13,180498.64868377615
2018-02-14,181833.67209932118
2018-02-15,182657.2415094757
2018-02-16,182019.4840614109
2018-02-20,183243.64359394013
2018-02-21,184192.33473620893
2018-02-22,182973.3146719139
2018-02-23,183300.54356241226
2018-02-26,184097.04331187773
2018-02-27,184156.28791616202
2018-02-28,186135.744042659
2018-03-01,185804.46817183358
2018-03-02,186949.6939073229
2018-03-05,188295.48632599667
2018-03-06,190078.66037641634
2018-03-07,191101.86304433216
2018-03-08,189629.31158410577
2018-03-09,192197.07857643484
2018-03-12,191236.91621370832
2018-03-13,190357.65435749083
2018-03-14,191711.26194415908
2018-03-15,191392.41634744787
2018-03-16,191137.5214752305
2018-03-19,189736.63561970688
2018-03-20,192213.0685616427
2018-03-21,191723.1662406143
2018-03-22,189255.85533463088
2018-03-23,187324.50007962144
2018-03-26,192035.28752852406
2018-03-27,187048.4002048229
2018-03-28,183884.67250541216
2018-03-29,182197.03890264782
2018-04-02,184279.68491053893
2018-04-03,182742.3004729524
2018-04-04,182893.45813260798
2018-04-05,181138.84032318488
2018-04-06,180927.9724454502
2018-04-09,181028.0330039502
2018-04-10,180763.36668079934
2018-04-11,180537.37384161944
2018-04-12,181465.18054409223
2018-04-13,180766.13383764733
2018-04-16,180938.85960822992
2018-04-17,181146.57121153828
2018-04-18,181423.12566181688
2018-04-19,181789.05581550958
2018-04-20,182939.42818274687
2018-04-23,182891.54989700436
2018-04-24,182738.54641228876
2018-04-25,182402.07491293453
2018-04-26,180447.43943294726
2018-04-27,181140.4460118293
2018-04-30,181743.56310603177
2018-05-01,182644.38096253225
2018-05-02,183021.5902768905
2018-05-03,183472.2440935354
2018-05-04,182938.31280536248
2018-05-07,184442.0020387846
2018-05-08,186141.02943378544
2018-05-09,187339.77109014415
2018-05-10,187115.2432519301
2018-05-11,186930.7224683113
2018-05-14,186995.23098094974
2018-05-15,187219.38624794924
2018-05-16,186929.67099452467
2018-05-17,186576.76624594902
2018-05-18,186758.90023565106
2018-05-21,186490.79444145062
2018-05-22,186390.62824962757
2018-05-23,187211.75072026328
2018-05-24,187304.98651447546
2018-05-25,186384.3976433682
2018-05-29,185883.3182039254
2018-05-30,187677.25348088355
